2026-06-12 08:11:52,416 | fork_sync.py:71 | INFO | loading fork_config.json
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | ABK | https://github.com/cloudskytian/ABK.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | ABK | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | acl4ssr2autoproxy | https://github.com/cloudskytian/acl4ssr2autoproxy.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | acl4ssr2autoproxy | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | ad-wars | https://github.com/cloudskytian/ad-wars.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | ad-wars | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | BiliGuard | https://github.com/cloudskytian/BiliGuard.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | BiliGuard | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | CleanFlashInstaller | https://github.com/cloudskytian/CleanFlashInstaller.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | CleanFlashInstaller | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | Clunbes_VRC | https://github.com/cloudskytian/Clunbes_VRC.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | Clunbes_VRC | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | CustomPinyinDictionaryForMSPinyinAndRime | https://github.com/cloudskytian/CustomPinyinDictionaryForMSPinyinAndRime.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | CustomPinyinDictionaryForMSPinyinAndRime | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | digital-life | https://github.com/cloudskytian/digital-life.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | digital-life | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | ExtensionsDownloader | https://github.com/cloudskytian/ExtensionsDownloader.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | ExtensionsDownloader | not starts with zzz_ , skip
2026-06-12 08:11:52,776 | fork_sync.py:84 | INFO | GenP-Source-Code | https://github.com/cloudskytian/GenP-Source-Code.git
2026-06-12 08:11:52,776 | fork_sync.py:86 | INFO | GenP-Source-Code | not starts with zzz_ , skip
